Model Name,Number of Iterations,Precision,Recall,F1 Score,PSNR,SSIM,LPIPS,Time Taken (s)
Instant-NGP,100,0.29,2.48,0.53,17.14,0.58,0.81,13
Instant-NGP,200,0.32,1.50,0.53,18.23,0.56,0.75,26
Instant-NGP,400,1.25,7.14,2.13,19.64,0.60,0.66,42
Instant-NGP,800,5.66,35.17,9.74,21.21,0.64,0.55,61
Instant-NGP,1000,3.93,27.61,6.88,20.71,0.57,0.59,76
Instant-NGP,5000,21.93,89.03,35.20,22.73,0.76,0.28,175
Instant-NGP,10000,25.98,92.59,40.57,23.20,0.79,0.22,297
Instant-NGP,20000,23.21,88.38,36.77,23.42,0.81,0.18,527
Instant-NGP,30000,24.66,90.62,38.77,23.41,0.81,0.17,756
NeRFacto,100,1.94,20.98,3.55,18.11,0.59,0.75,14
NeRFacto,200,7.72,42.84,13.08,19.50,0.57,0.65,27
NeRFacto,400,20.86,68.64,32.00,21.27,0.64,0.55,43
NeRFacto,800,39.48,80.26,52.92,22.33,0.67,0.45,64
NeRFacto,1000,41.35,82.54,55.09,22.20,0.66,0.44,79
NeRFacto,5000,66.43,92.51,77.33,22.30,0.73,0.19,430
NeRFacto,10000,70.04,93.94,80.25,22.34,0.74,0.15,564
NeRFacto,20000,73.32,94.51,82.58,22.35,0.74,0.13,1068
NeRFacto,30000,73.57,94.72,82.81,22.24,0.73,0.12,1938
TensoRF,100,0.43,2.27,0.72,13.44,0.54,0.82,13
TensoRF,200,0.65,4.47,1.13,13.55,0.52,0.82,25
TensoRF,400,1.18,8.76,2.07,13.51,0.51,0.81,40
TensoRF,800,1.86,14.22,3.29,13.10,0.50,0.79,61
TensoRF,1000,2.05,16.40,3.65,13.14,0.49,0.79,77
TensoRF,5000,6.63,36.57,11.22,13.59,0.52,0.70,420
TensoRF,10000,9.58,43.47,15.69,14.64,0.55,0.67,859
TensoRF,20000,9.51,43.19,15.59,14.68,0.55,0.67,1651
TensoRF,30000,9.58,43.34,15.69,14.69,0.55,0.66,1973
